MovieID,Title,Genres,Actors,Keywords
1,Toy Story (1995),Animation|Children's|Comedy,"Tom Hanks, Tim Allen, Don Rickles, Jim Varney, Wallace Shawn, John Ratzenberger, Annie Potts, John Morris, Erik von Detten, Laurie Metcalf, R. Lee Ermey, Sarah Freeman, Penn Jillette, Jack Angel, Spencer Aste, Greg Berg, Lisa Bradley, Kendall Cunningham, Debi Derryberry, Cody Dorkin, Bill Farmer, Craig Good, Gregory Grudt, Danielle Judovits, Sam Lasseter, Brittany Levenbrown, Sherry Lynn, Scott McAfee, Mickie McGowan, Ryan O'Donohue, Jeff Pidgeon, Patrick Pinney, Phil Proctor, Jan Rabson, Joe Ranft, Andrew Stanton, Shane Sweet","rescue, friendship, mission, jealousy, villain, bullying, elementary school, rivalry, anthropomorphism, friends, computer animation, buddy, walkie talkie, toy car, boy next door, new toy, neighborhood, toy comes to life, resourcefulness, toys"
2,Jumanji (1995),Adventure|Children's|Fantasy,"Robin Williams, Kirsten Dunst, Bradley Pierce, Bonnie Hunt, Jonathan Hyde, Bebe Neuwirth, David Alan Grier, Adam Hann-Byrd, Patricia Clarkson, Laura Bell Bundy, James Handy, Gillian Barber, Brandon Obray, Cyrus Thiedeke, Gary Joseph Thorup, Leonard Zola, Lloyd Berry, Malcolm Stewart, Annabel Kershaw, Darryl Henriques, Robyn Driscoll, Peter Bryant, Sarah Gilson, Florica Vlad, June Lion, Brenda Lockmuller, Frederick Richardson, Jaysen Clough, Daniel Olsen, Falko Schilling, David Szehi, Tom Woodruff Jr.","giant insect, board game, disappearance, jungle, recluse, stampede, based on young adult novel, mischievous"
3,Grumpier Old Men (1995),Comedy|Romance,"Walter Matthau, Jack Lemmon, Ann-Margret, Sophia Loren, Daryl Hannah, Burgess Meredith, Kevin Pollak, Katie Sagona, Ann Morgan Guilbert, James Andelin, Marcus Klemp, Max Wright, Cheryl Hawker, Michelle Johnston","fishing, sequel, old man, best friend, wedding, italian restaurant, old friends, duringcreditsstinger, pranks"
4,Waiting to Exhale (1995),Comedy|Drama,"Whitney Houston, Angela Bassett, Loretta Devine, Lela Rochon, Gregory Hines, Dennis Haysbert, Mykelti Williamson, Michael Beach, Leon, Wendell Pierce, Donald Faison, Jeffrey D. Sams, Jazz Raycole, Brandon Hammond, Kenya Moore, Lamont Johnson, Wren T. Brown, Theo, Ken Love, Graham Galloway, Starletta DuPois, Shari L. Carpenter, Thomas R. Leander, Cordell Conway, Lee Wells Jr., Hope Brown, Delaina Mitchell, Luis Sharpe, Joseph S. Myers, Ezra Swerdlow, Ellin La Var, Patricia Anne Fox, Wally Bujack, Brenda Baldwin-Davis, William Bolander, L. Scott Caldwell, Kacee DeMasi, Giancarlo Esposito, Wanda-Lee Evans, Tom Hedrick, Donyell Hinton, Bob Huff, Angela Kenzslowe, Kelly Preston, Jose Rosete, Juliet Rose Serrato, Wesley Snipes","based on novel or book, single mother, divorce, anxious, friendship between women, cautionary, adoring, celebratory, comforting, african american romance, african american friendship"
5,Father of the Bride Part II (1995),Comedy,"Steve Martin, Diane Keaton, Martin Short, Kimberly Williams-Paisley, George Newbern, Kieran Culkin, BD Wong, Peter Michael Goetz, Kate McGregor-Stewart, Jane Adams, Eugene Levy, Rebecca Chambers, April Ortiz, Dulcy Rogers, Kathy Anthony, Adrian Canzoneri, Lori Alan, Stephanie Miller, Hallie Meyers-Shyer, Jay Wolpert, Ann Walker, Sandra Silvestri, William Akey, Jonathan Emerson, Seth Kaplan, Joshua Duvall Preston, K.C. Colwell, Chase Colwell, Tony Simotes, Annie Meyers-Shyer, Linda DeScenna, Heidi Averill, Chelsea Lynn, Sue Colwell, Rodrigo Botero, Vince Lozano, Caroline Lagerfelt, Ilene Waterstone, Wendy Worthington, Dorian Spencer, Harris Laskawy, Roxanne Beckford, Valerie Hemmerich, Peter Spears, Susan Beaubian, Mychael Bates, Jerri Rose White, Shannon Kennedy, Casey Boersma, Katie Pierce, Dylan Boersma, Jonathan Selstad, Thomas Selstad, Christian Boeving, Nora Dunn, David Novak, Kylie Travis","daughter, baby, parent child relationship, midlife crisis, pregnancy, confidence, aging, sequel, remake, los angeles, california, contraception, gynecologist"
6,Heat (1995),Action|Crime|Thriller,"Al Pacino, Robert De Niro, Val Kilmer, Jon Voight, Tom Sizemore, Diane Venora, Amy Brenneman, Ashley Judd, Mykelti Williamson, Wes Studi, Ted Levine, Natalie Portman, William Fichtner, Kevin Gage, Hank Azaria, Dennis Haysbert, Tom Noonan, Danny Trejo, Kim Staunton, Susan Traylor, Henry Rollins, Ricky Harris, Jerry Trimble, Martin Ferrero, Tone Loc, Begonya Plaza, Hazelle Goodman, Ray Buktenica, Jeremy Piven, Xander Berkeley, Rick Avery, Brad Baldridge, Andrew Camuccio, Brian Camuccio, Max Daniels, Vince Deadrick Jr., Charles Duke, Thomas Elfmont, Kenny Endoso, Kimberly Flynn, Steven Ford, Farrah Forke, Hannes Fritsch, Amanda Graves, Emily Graves, Niki Haris, Ted Harvey, Patricia Healy, Paul Herman, Cindy Katz, Brian Libby, Bill McIntosh, Dan Martin, Rick Marzan, Terry Miller, Paul Moyer, Daniel O'Haco, Mario Roberts, Phillip Robinson, Thomas Rosales Jr., Rainell Saunders, Kai Soremekun, Rey Verdugo, Wendy L. Walsh, Yvonne Zima, Monica Lee Bellais, Peter Blackwell, Trevor Coppola, Bud Cort, Annette Goodman, Mick Gould, Mary Kircher, David Koseruba, Darin Mangan, Melissa S. Markess, Andre McCoy, Darren Melton, Robert Miranda, Kathryn Mullen, Manny Perry, Jimmy N. Roberts, Iva Franks-Singer, Jimmy Star, Gloria Koehn Straube, Viviane Vives, Tim Werner, Heidi Miller","robbery, chase, obsession, detective, heist, thief, honor, murder, betrayal, gang, los angeles, california, cat and mouse, bank robbery, criminal mastermind, cynical, ex-con, one last job, loner, bank job, neo-noir, crime epic, grand, tense, audacious, bold, tragic"
7,Sabrina (1995),Comedy|Romance,"Harrison Ford, Julia Ormond, Greg Kinnear, Nancy Marchand, John Wood, Richard Crenna, Angie Dickinson, Lauren Holly, Dana Ivey, Miriam Colon, Elizabeth Franz, Fanny Ardant, Valérie Lemercier, Patrick Bruel, Becky Ann Baker, Paul Giamatti, John C. Vennema, Gregory Chase, Margo Martindale, J. Smith-Cameron, Christine Luneau-Lipton, Michael Dees, Denis Holmes, Jo-Jo Lowe, Ira Wheeler, Philippa Cooper, Ayako Kawahara, François Genty, Guillaume Gallienne, Inés Sastre, Phina Oruche, Helena, Katia, Andrea Behalikova, Jennifer Herrera, Kristina Kumlin, Eva Linderholm, Carmen Chaplin, Micheline Van de Velde, Joanna Rhodes, Alan Boone, Patrick Forster-Delmas, Kentaro, J.B. Benn, Peter McKernan, Ed Connelly, Ronald L. Schwary, Kenneth A. MacDonald, Alvin Lum, Siching Song, Phil Nee, Randy Becker, Susan Browning, Anthony Mondal, Peter Parks, Doug Ferony, Dale Resteghini, Michael Cline, Woodrow Asai, Philippe Hartmann, Jerry Quinn, Victor Warren, Dori Rosenthal, Eric Bruno Borgman","chauffeur, sibling relationship, paris, france, transformation, birthday party, family business , long island, new york, playboy, teenage crush, millionaire, marriage engagement, high society, merger, impossible love, family disapproval, scheme, wealth differences, wealthy family, father daughter relationship, brother brother relationship, unlikely romance, romantic"
8,Tom and Huck (1995),Adventure|Children's,"Jonathan Taylor Thomas, Brad Renfro, Eric Schweig, Charles Rocket, Amy Wright, Michael McShane, Marian Seldes, Rachael Leigh Cook, Lanny Flaherty, Courtland Mead, Peter MacKenzie, Heath Lamberts, William Newman, Joey Stinson, Blake Heron, Jim Aycock, Andy Stahl, Adrian Roberts, Tiffany Lynn Clark, Kellen Hathaway, Mark Cabus, Bronwen Murray, Paul Kropfl, Tamara Mello, Ike Eisenmann","based on novel or book, mississippi river, male friendship"
9,Sudden Death (1995),Action,"Jean-Claude Van Damme, Powers Boothe, Raymond J. Barry, Whittni Wright, Ross Malinger, Dorian Harewood, Kate McNeil, Michael Gaston, Audra Lindley, Brian Delate, Steve Aronson, Michael R. Aubele, Karen Elise Baldwin, Jennifer D. Bowser, Pat Brisson, Glenda Morgan Brown, Jophery C. Brown, William Cameron, Bernard Canepari, Jay Caufield, Alan Clement, Bill Clement, Bill Dalzell, Gilbert B. Combs, Jack Erdie, Ed Evanko, David Flick, Glenn Alan Gardner, John Hall, Jeff Habberstad, Mark Hager, John Hateley, Rosine 'Ace' Hatem, Jeff Hochendoner, Jeff Howell, Brian Hutchison, Jeff Jimerson, Mark Kachowski, Callum Keith-King, Rick LeFevour, Tommy Lafitte, Raymond Laine, Mike Lange, Butch Luick, Fred Mancuso, Anthony Marino, Larry John Meyers, Ken Milchick, Faith Minton, Paul Mochnick, Brad Moniz, Jean-Pierre Nutini, Daniel R. Pagath, Manny Perry, Allan Pinsker, Douglas Rees, Diane Robin, Luc Robitaille, Thomas Saccio, Vinnie Sciullo, Jack Skelly, Brian Smrz, Phil Spano, Paul Steigerwald, John Sterling, Harold Surratt, Rohn Thomas, Milton E. Thompson Jr., Dixie Tymitz, Fred Waugh, Rema Webb, Dean E. Wells, Jake Teague","explosive, hostage, ice hockey, terrorism, vice president, pittsburgh, pennsylvania, pittsburgh penguins"
10,GoldenEye (1995),Action|Adventure|Thriller,"Pierce Brosnan, Sean Bean, Izabella Scorupco, Famke Janssen, Joe Don Baker, Judi Dench, Robbie Coltrane, Tchéky Karyo, Gottfried John, Alan Cumming, Desmond Llewelyn, Samantha Bond, Michael Kitchen, Serena Gordon, Simon Kunz, Pavel Douglas, Olivier Lajous, Billy J. Mitchell, Constantine Gregory, Minnie Driver, Michelle Arthur, Ravil Isyanov, Vladimir Milanovich, Trevor Byfield, Peter Majer, Kate Gayson, Simone Bechtel","computer virus, cuba, falsely accused, secret intelligence service, secret identity, secret base, kgb, satellite, special car, cossack, electromagnetic pulse, time bomb, st. petersburg, russia, red army"
